,Ticker,Average RMSE,Average MAPE
0,A,8.092,0.08399999999999999
1,AAL,4.82,0.15199999999999997
2,AAPL,7.814,0.088
3,ABBV,9.309999999999999,0.1
4,ABT,4.862,0.066
5,ACGL,2.4200000000000004,0.05800000000000001
6,ACN,12.518,0.068
7,ADBE,43.358000000000004,0.142
8,ADI,5.644,0.05600000000000001
9,ADM,4.8740000000000006,0.07999999999999999
10,ADP,9.02,0.064
11,ADSK,22.657999999999998,0.13199999999999998
12,AEE,2.75,0.049999999999999996
13,AEP,3.5780000000000003,0.052000000000000005
14,AES,1.182,0.06599999999999999
15,AFL,2.626,0.057999999999999996
16,AIG,3.2479999999999998,0.06600000000000002
17,AIZ,5.906000000000001,0.055999999999999994
18,AJG,6.9719999999999995,0.07
19,AKAM,8.068,0.096
20,ALB,12.57,0.098
21,ALGN,59.931999999999995,0.19
22,ALK,6.1739999999999995,0.10799999999999998
23,ALL,5.078,0.054000000000000006
24,ALLE,6.812,0.06200000000000001
25,AMAT,7.312,0.11400000000000002
26,AMCR,0.518,0.05
27,AMD,7.590000000000001,0.16599999999999998
28,AME,5.424,0.06000000000000001
29,AMGN,9.966,0.048
30,AMP,13.273999999999997,0.07999999999999999
31,AMT,9.61,0.05800000000000001
32,AMZN,12.446,0.124
33,ANET,7.587999999999999,0.10400000000000001
34,ANSS,20.8,0.076
35,AON,8.504000000000001,0.052000000000000005
36,AOS,3.9699999999999998,0.078
37,APA,4.966,0.13199999999999998
38,APD,11.552,0.055999999999999994
39,APH,3.018,0.06600000000000002
40,APTV,8.982,0.082
41,ARE,8.040000000000001,0.068
42,ATO,5.194000000000001,0.064
43,ATVI,5.65,0.09
44,AVB,9.930000000000001,0.054000000000000006
45,AVGO,24.814,0.10400000000000001
46,AVY,9.806000000000001,0.078
47,AWK,6.858,0.066
48,AXON,13.478,0.158
49,AXP,7.562,0.068
50,AZO,110.86399999999999,0.08399999999999999
51,BA,31.125999999999998,0.132
52,BAC,2.1719999999999997,0.07400000000000001
53,BALL,4.558,0.078
54,BAX,3.3400000000000007,0.052000000000000005
55,BBWI,5.302,0.11600000000000002
56,BBY,7.812,0.10800000000000001
57,BDX,10.622,0.052000000000000005
58,BEN,2.134,0.064
59,BG,5.5840000000000005,0.068
60,BIIB,37.352000000000004,0.11200000000000002
61,BIO,43.484,0.092
62,BK,2.5439999999999996,0.054000000000000006
63,BKNG,121.564,0.05800000000000001
64,BKR,3.1399999999999997,0.092
65,BLK,53.980000000000004,0.096
66,BMY,4.466,0.07
67,BR,8.366,0.086
68,BRO,2.304,0.054000000000000006
69,BSX,2.222,0.06799999999999999
70,BWA,3.332,0.074
71,BX,4.08,0.086
72,BXP,7.2299999999999995,0.06999999999999999
73,C,4.234,0.07
74,CAG,1.684,0.048
75,CAH,5.322,0.08399999999999999
76,CAT,11.114,0.074
77,CB,8.270000000000001,0.055999999999999994
78,CBOE,5.976,0.052000000000000005
79,CBRE,4.59,0.08
80,CCI,5.481999999999999,0.046
81,CCL,3.562,0.152
82,CDNS,6.22,0.074
83,CDW,7.3180000000000005,0.07799999999999999
84,CE,7.482000000000001,0.072
85,CF,9.98,0.19
86,CFG,2.5140000000000002,0.072
87,CHD,4.004,0.052000000000000005
88,CHRW,5.505999999999999,0.06
89,CHTR,55.124,0.124
90,CI,14.498,0.064
91,CINF,5.642,0.06799999999999999
92,CL,2.7779999999999996,0.036
93,CLX,9.006,0.057999999999999996
94,CMA,6.018,0.092
95,CMCSA,3.0119999999999996,0.08
96,CME,10.716,0.06599999999999999
97,CMG,120.78399999999999,0.13399999999999998
98,CMI,12.081999999999999,0.066
99,CMS,2.1499999999999995,0.048
100,CNC,6.276000000000001,0.094
101,CNP,1.614,0.062
102,COF,9.709999999999999,0.094
103,COO,17.89,0.06
104,COP,8.815999999999999,0.11599999999999999
105,COR,8.438,0.074
106,COST,19.426,0.062
107,CPB,3.194,0.064
108,CPRT,1.8239999999999998,0.098
109,CPT,5.385999999999999,0.054000000000000006
110,CRL,24.612000000000002,0.11200000000000002
111,CRM,16.836000000000002,0.096
112,CSCO,2.7540000000000004,0.064
113,CSGP,4.464,0.07600000000000001
114,CSX,1.506,0.06999999999999999
115,CTAS,16.424,0.082
116,CTLT,7.266,0.11200000000000002
117,CTRA,2.238,0.08
118,CTSH,4.38,0.064
119,CVS,5.788,0.068
120,CVX,10.946000000000002,0.08600000000000001
121,CZR,7.968000000000001,0.174
122,D,3.13,0.044
123,DAL,5.318,0.12400000000000003
124,DD,5.796,0.07999999999999999
125,DE,15.224,0.064
126,DFS,7.226000000000001,0.096
127,DG,8.786000000000001,0.05800000000000001
128,DGX,5.136,0.048
129,DHI,5.006,0.082
130,DHR,12.67,0.07400000000000001
131,DIS,11.02,0.09
132,DLR,7.784000000000001,0.078
133,DLTR,11.63,0.08199999999999999
134,DOV,7.534000000000001,0.07
135,DPZ,35.104,0.122
136,DRI,7.343999999999999,0.078
137,DTE,4.252000000000001,0.046
138,DUK,3.1239999999999997,0.038
139,DVA,9.896,0.10400000000000001
140,DVN,6.07,0.15
141,DXC,5.124,0.126
142,DXCM,9.264,0.156
143,EA,7.820000000000002,0.07399999999999998
144,EBAY,3.8520000000000003,0.082
145,ECL,10.446000000000002,0.064
146,ED,4.036,0.05
147,EFX,13.063999999999998,0.084
148,EG,12.945999999999998,0.054000000000000006
149,EIX,4.798,0.078
150,EL,14.466,0.078
151,ELV,22.976,0.076
152,EMN,5.804,0.062
153,EMR,5.11,0.066
154,ENPH,14.913999999999998,0.29600000000000004
155,EOG,11.724,0.12000000000000002
156,EPAM,36.742000000000004,0.136
157,EQIX,37.552,0.07
158,EQR,3.914,0.057999999999999996
159,EQT,4.298,0.11600000000000002
160,ES,2.902,0.048
161,ESS,15.616,0.066
162,ETN,6.644,0.064
163,ETR,4.16,0.041999999999999996
164,ETSY,18.43,0.236
165,EVRG,2.988,0.06200000000000001
166,EW,4.782000000000001,0.084
167,EXC,2.0140000000000002,0.05800000000000001
168,EXPD,4.816,0.054000000000000006
169,EXPE,14.065999999999999,0.12
170,EXR,6.981999999999999,0.068
171,F,0.898,0.06
172,FANG,16.336000000000002,0.192
173,FAST,2.694,0.074
174,FCX,2.724,0.10400000000000001
175,FDS,19.05,0.068
176,FDX,19.172,0.09
177,FE,1.802,0.048
178,FFIV,14.824000000000002,0.08600000000000001
179,FI,5.582,0.068
180,FICO,25.04,0.09
181,FIS,6.444,0.076
182,FITB,2.0140000000000002,0.06999999999999999
183,FLT,19.092000000000002,0.082
184,FMC,6.284000000000001,0.06599999999999999
185,FRT,7.982000000000001,0.06999999999999999
186,FSLR,11.136,0.124
187,FTNT,2.584,0.12000000000000002
188,GD,11.47,0.066
189,GE,13.636000000000001,0.13
190,GEN,1.5379999999999998,0.086
191,GILD,5.412,0.06999999999999999
192,GIS,3.626,0.052000000000000005
193,GL,4.6579999999999995,0.05
194,GLW,2.1719999999999997,0.084
195,GM,3.2739999999999996,0.074
196,GNRC,28.020000000000003,0.164
197,GOOG,6.414,0.088
198,GOOGL,6.303999999999999,0.086
199,GPC,7.5840000000000005,0.068
200,GPN,10.442,0.10400000000000001
201,GRMN,10.372,0.122
202,GS,17.768,0.066
203,GWW,33.092,0.088
204,HAL,4.456,0.11000000000000001
205,HAS,5.512,0.07200000000000001
206,HBAN,0.8039999999999999,0.06999999999999999
207,HCA,12.372,0.098
208,HD,14.362,0.066
209,HES,9.582,0.11000000000000001
210,HIG,2.7520000000000002,0.05600000000000001
211,HII,16.261999999999997,0.092
212,HLT,6.552,0.066
213,HOLX,3.0440000000000005,0.048
214,HON,9.36,0.06000000000000001
215,HPQ,1.9739999999999998,0.08800000000000001
216,HRL,2.744,0.06599999999999999
217,HSIC,4.273999999999999,0.054000000000000006
218,HST,1.218,0.064
219,HSY,7.888,0.044000000000000004
220,HUM,25.046,0.074
221,IBM,4.458,0.03
222,ICE,4.55,0.054000000000000006
223,IDXX,37.094,0.12000000000000002
224,IEX,9.406,0.06799999999999999
225,IFF,8.538,0.06999999999999999
226,ILMN,42.858,0.164
227,INCY,11.845999999999998,0.13200000000000003
228,INTC,4.708,0.11200000000000002
229,INTU,24.528,0.096
230,IP,2.77,0.064
231,IPG,1.548,0.06799999999999999
232,IQV,9.13,0.064
233,IRM,2.116,0.064
234,ISRG,19.084,0.098
235,IT,9.861999999999998,0.057999999999999996
236,ITW,11.32,0.07199999999999998
237,IVZ,2.036,0.098
238,J,4.958,0.05800000000000001
239,JBHT,7.140000000000001,0.048
240,JCI,3.3259999999999996,0.068
241,JKHY,9.156,0.06999999999999999
242,JNJ,6.306,0.048
243,JNPR,1.456,0.044
244,JPM,7.777999999999999,0.07200000000000001
245,K,2.722,0.038
246,KDP,1.6300000000000001,0.078
247,KEY,1.214,0.076
248,KEYS,6.746,0.074
249,KHC,3.500000000000001,0.074
250,KIM,1.424,0.072
251,KLAC,16.156,0.1
252,KMB,5.552,0.046
253,KMI,1.682,0.09599999999999999
254,KMX,7.24,0.078
255,KO,2.04,0.04
256,KR,2.9979999999999998,0.08199999999999999
257,L,2.4040000000000004,0.041999999999999996
258,LDOS,4.412,0.061999999999999986
259,LEN,6.196,0.084
260,LH,9.138,0.048
261,LHX,9.55,0.06799999999999999
262,LIN,10.994,0.05800000000000001
263,LKQ,2.4,0.05600000000000001
264,LLY,12.43,0.074
265,LMT,19.27,0.064
266,LNT,1.954,0.05
267,LOW,9.558,0.068
268,LRCX,33.268,0.11000000000000001
269,LUV,5.314,0.126
270,LVS,5.154000000000001,0.07400000000000001
271,LYB,6.122,0.07200000000000001
272,LYV,5.595999999999999,0.086
273,MA,14.264,0.07
274,MAA,6.464,0.054000000000000006
275,MAR,11.796000000000001,0.096
276,MAS,3.066,0.07
277,MCD,8.898,0.05
278,MCHP,3.664,0.07599999999999998
279,MCK,24.082,0.096
280,MCO,16.884,0.08
281,MDLZ,1.656,0.032
282,MDT,6.362,0.07200000000000001
283,MET,2.622,0.05
284,META,25.424,0.146
285,MGM,2.722,0.088
286,MHK,17.728,0.10999999999999999
287,MKC,4.048,0.052000000000000005
288,MKTX,32.589999999999996,0.12
289,MLM,15.126,0.06
290,MMC,5.06,0.05800000000000001
291,MMM,11.916,0.078
292,MNST,2.37,0.064
293,MO,2.446,0.05600000000000001
294,MOH,16.96,0.11200000000000002
295,MOS,5.14,0.128
296,MPC,7.934,0.11600000000000002
297,MPWR,23.246,0.11200000000000002
298,MRK,3.9379999999999997,0.054000000000000006
299,MRO,3.196,0.178
300,MS,4.514,0.08199999999999999
301,MSCI,29.646000000000004,0.10800000000000001
302,MSFT,13.113999999999999,0.098
303,MSI,8.79,0.06599999999999999
304,MTB,10.23,0.06200000000000001
305,MTCH,10.776,0.194
306,MTD,64.33599999999998,0.072
307,MU,6.5200000000000005,0.13599999999999998
308,NCLH,4.904,0.168
309,NDAQ,2.532,0.084
310,NDSN,12.318000000000001,0.078
311,NEE,2.934,0.06000000000000001
312,NEM,4.822,0.10800000000000001
313,NFLX,53.576,0.168
314,NI,1.7419999999999998,0.076
315,NKE,9.51,0.096
316,NOC,24.824,0.082
317,NOW,36.224000000000004,0.11200000000000002
318,NRG,2.71,0.1
319,NSC,13.11,0.086
320,NTAP,5.786,0.094
321,NTRS,5.626,0.06000000000000001
322,NUE,5.398000000000001,0.068
323,NVDA,15.38,0.16999999999999998
324,NVR,221.248,0.066
325,NWS,1.084,0.054000000000000006
326,NWSA,1.1880000000000002,0.05600000000000001
327,NXPI,11.943999999999999,0.096
328,O,3.2979999999999996,0.06000000000000001
329,ODFL,15.258,0.10400000000000001
330,OKE,5.462,0.13
331,OMC,4.452,0.06
332,ON,3.7980000000000005,0.10400000000000001
333,ORCL,2.9319999999999995,0.052000000000000005
334,ORLY,34.252,0.082
335,OXY,7.606,0.158
336,PANW,9.23,0.11200000000000002
337,PARA,4.708,0.12200000000000003
338,PAYC,27.308,0.13
339,PAYX,4.7379999999999995,0.06799999999999999
340,PCAR,3.168,0.064
341,PCG,4.7,0.13
342,PEAK,1.6299999999999997,0.054000000000000006
343,PEG,2.326,0.046
344,PEP,5.018,0.04
345,PFE,1.86,0.04800000000000001
346,PFG,3.678,0.066
347,PG,4.764,0.041999999999999996
348,PGR,4.948,0.064
349,PH,14.290000000000001,0.06799999999999999
350,PHM,3.044,0.082
351,PKG,6.316000000000001,0.064
352,PLD,5.286,0.062
353,PM,4.86,0.06400000000000002
354,PNC,8.274,0.064
355,PNR,4.682,0.08600000000000001
356,PNW,3.964,0.052000000000000005
357,PODD,14.87,0.096
358,POOL,24.456,0.10400000000000001
359,PPG,8.559999999999999,0.068
360,PPL,1.7920000000000003,0.05800000000000001
361,PRU,4.772,0.054000000000000006
362,PSA,14.784,0.06
363,PSX,8.120000000000001,0.094
364,PTC,9.32,0.10400000000000001
365,PWR,6.2620000000000005,0.086
366,PXD,19.913999999999998,0.10800000000000001
367,PYPL,21.968,0.17
368,QCOM,8.202000000000002,0.06999999999999999
369,QRVO,14.151999999999997,0.11800000000000002
370,RCL,9.45,0.128
371,REG,3.87,0.06399999999999999
372,REGN,62.59799999999999,0.12000000000000002
373,RF,1.132,0.06999999999999999
374,RHI,5.957999999999999,0.094
375,RJF,4.262,0.064
376,RL,8.436,0.068
377,RMD,13.002,0.084
378,ROK,18.034,0.084
379,ROL,2.038,0.074
380,ROP,17.708000000000002,0.05600000000000001
381,ROST,7.69,0.08600000000000001
382,RSG,3.7640000000000002,0.05
383,RTX,4.556,0.055999999999999994
384,RVTY,8.154,0.07600000000000001
385,SBAC,12.366,0.064
386,SBUX,5.24,0.06000000000000001
387,SCHW,4.252000000000001,0.08
388,SEDG,19.970000000000002,0.14400000000000002
389,SEE,2.802,0.05800000000000001
390,SHW,13.144,0.07600000000000001
391,SJM,5.973999999999999,0.04
392,SLB,4.88,0.094
393,SNA,9.022,0.054000000000000006
394,SNPS,10.790000000000001,0.06
395,SO,2.3240000000000003,0.042
396,SPG,10.8,0.094
397,SPGI,19.372,0.08800000000000001
398,SRE,3.1060000000000003,0.05600000000000001
399,STE,7.6819999999999995,0.06
400,STLD,4.572,0.098
401,STT,5.74,0.07200000000000001
402,STX,6.9079999999999995,0.144
403,STZ,13.223999999999998,0.07999999999999999
404,SWK,11.852,0.092
405,SWKS,15.4,0.146
406,SYF,3.2699999999999996,0.096
407,SYK,11.496,0.064
408,SYY,4.228,0.07
409,T,0.9259999999999999,0.044
410,TAP,6.952,0.098
411,TDG,28.110000000000003,0.08
412,TDY,19.106,0.076
413,TECH,5.854000000000001,0.088
414,TEL,6.784000000000001,0.068
415,TER,7.542,0.098
416,TFC,2.702,0.06000000000000001
417,TFX,24.46,0.1
418,TGT,11.168000000000001,0.082
419,TJX,3.188,0.055999999999999994
420,TMO,24.896,0.076
421,TMUS,6.434,0.06799999999999999
422,TPR,3.3979999999999997,0.094
423,TRGP,8.592,0.192
424,TRMB,5.9159999999999995,0.11000000000000001
425,TROW,12.272,0.10200000000000001
426,TRV,7.642,0.05800000000000001
427,TSCO,9.325999999999999,0.07400000000000001
428,TSLA,24.796000000000003,0.15599999999999997
429,TSN,7.0120000000000005,0.10200000000000001
430,TT,8.836000000000002,0.08199999999999999
431,TTWO,9.046000000000001,0.08600000000000001
432,TXN,8.068,0.082
433,TXT,4.496,0.078
434,TYL,27.827999999999996,0.094
435,UAL,7.965999999999999,0.142
436,UDR,2.26,0.062
437,UHS,11.75,0.088
438,ULTA,28.184000000000005,0.098
439,UNH,23.773999999999997,0.08
440,UNP,11.282,0.074
441,UPS,7.164,0.049999999999999996
442,URI,23.568,0.12400000000000003
443,USB,2.622,0.05600000000000001
444,V,8.9,0.064
445,VFC,6.756,0.12000000000000002
446,VLO,10.734,0.124
447,VMC,8.2,0.064
448,VRSK,7.678,0.052000000000000005
449,VRSN,10.522,0.066
450,VRTX,21.026,0.09999999999999999
451,VTR,4.68,0.088
452,VTRS,3.406,0.09600000000000002
453,VZ,1.916,0.038
454,WAB,7.7620000000000005,0.078
455,WAT,16.136000000000003,0.062
456,WBA,4.134,0.074
457,WBD,2.606,0.09
458,WDC,8.79,0.13999999999999999
459,WEC,3.026,0.044
460,WELL,4.846000000000001,0.06999999999999999
461,WFC,3.2840000000000003,0.06999999999999999
462,WHR,12.672,0.08
463,WM,4.772,0.054000000000000006
464,WMB,3.286,0.132
465,WMT,5.286,0.046
466,WRB,2.812,0.05800000000000001
467,WRK,3.5420000000000003,0.08
468,WST,22.4,0.10800000000000001
469,WTW,6.434,0.032
470,WY,1.932,0.064
471,WYNN,16.408,0.11200000000000002
472,XEL,2.152,0.046
473,XOM,7.1240000000000006,0.09200000000000001
474,XRAY,4.736,0.092
475,XYL,7.93,0.11000000000000001
476,YUM,5.116,0.054000000000000006
477,ZBH,8.32,0.06400000000000002
478,ZBRA,35.867999999999995,0.144
479,ZION,3.072,0.064
480,ZTS,8.024000000000001,0.07200000000000001
481,FTV,4.1125,0.0575
482,HPE,1.04,0.07500000000000001
483,HWM,2.6575,0.0925
484,INVH,1.0875,0.0325
485,IR,3.1350000000000002,0.0675
486,LW,7.0649999999999995,0.1
487,CDAY,10.90333333333333,0.1466666666666667
488,CTVA,3.3699999999999997,0.06333333333333334
489,DOW,3.5866666666666664,0.06333333333333334
490,FOX,1.8133333333333335,0.04666666666666667
491,FOXA,1.7533333333333332,0.043333333333333335
492,MRNA,43.120000000000005,0.29333333333333333
493,VICI,1.2466666666666668,0.049999999999999996
494,ABNB,18.225,0.095
495,CARR,8.76,0.225
496,OGN,1.745,0.05
497,OTIS,7.779999999999999,0.10500000000000001
498,CEG,17.49,0.2
499,GEHC,7.96,0.09
500,KVUE,0.68,0.02
